DateTime,Latitude,Longitude,ClusterID,KPIName,CellName,AnomalyScore,Value,Vendor,Operator
2023-07-06T00:00:00,17.83653,52.65685,-1,(M) Abnormal Release Rate(%),ND0007134F1C,1,81.87,ericsson,Omantel
2023-07-06T00:00:00,16.8367173,53.3705474,-1,(M) Abnormal Release Rate(%),ND0050134F1C,1,51.05,ericsson,Omantel
2023-07-06T00:00:00,17.12022,55.05226,-1,(M) Abnormal Release Rate(%),ND0056234F1A,1,51.33,ericsson,Omantel
2023-07-06T00:00:00,17.44569,55.26889,-1,(M) Abnormal Release Rate(%),ND0061234F1C,1,38.6,ericsson,Omantel
2023-07-06T00:00:00,16.9542094,53.8667074,-1,(M) Abnormal Release Rate(%),ND0074134F1B,1,48.56,ericsson,Omantel
2023-07-06T00:00:00,17.0601,54.04,-1,(M) Abnormal Release Rate(%),ND0209134F1C,1,38.34,ericsson,Omantel
2023-07-06T00:00:00,17.096001,54.210825,-1,(M) Abnormal Release Rate(%),ND0233134F1A,1,24.35,ericsson,Omantel
2023-07-06T00:00:00,17.104749,54.114116,-1,(M) Abnormal Release Rate(%),ND0237134F1A,1,43.43,ericsson,Omantel
2023-07-06T00:00:00,17.892222,54.084222,-1,(M) Abnormal Release Rate(%),ND0326234F1C,1,40.99,ericsson,Omantel
2023-07-06T00:00:00,17.118257,53.955906,-1,(M) Abnormal Release Rate(%),ND1136134F1C,1,38.13,ericsson,Omantel
2023-07-06T00:00:00,23.326207,56.325301,-1,(M) Abnormal Release Rate(%),NH0013134F1A,1,48.85,ericsson,Omantel
2023-07-06T00:00:00,22.738739,56.618399,-1,(M) Abnormal Release Rate(%),NH0045134F1A,1,27.67,ericsson,Omantel
2023-07-06T00:00:00,23.384068,56.874462,-1,(M) Abnormal Release Rate(%),NH0106134F1A,1,26.06,ericsson,Omantel
2023-07-06T00:00:00,23.384068,56.874462,-1,(M) Abnormal Release Rate(%),NH0106134F1B,1,24.15,ericsson,Omantel
2023-07-06T00:00:00,22.09085,57.31319,-1,(M) Abnormal Release Rate(%),NK0042134F1A,1,71.14,ericsson,Omantel
2023-07-06T00:00:00,23.060824,57.266438,-1,(M) Abnormal Release Rate(%),NK0096134F1A,1,31.36,ericsson,Omantel
2023-07-06T00:00:00,23.212751,57.8784,-1,(M) Abnormal Release Rate(%),NK0201134F1B,1,22.21,ericsson,Omantel
2023-07-06T00:00:00,21.325173,57.087015,-1,(M) Abnormal Release Rate(%),NK0224134F1C,1,27.0,ericsson,Omantel
2023-07-06T00:00:00,22.329112,58.236974,-1,(M) Abnormal Release Rate(%),NQ0030134F1A,1,27.73,ericsson,Omantel
2023-07-06T00:00:00,22.3862493,58.2168302,-1,(M) Abnormal Release Rate(%),NQ0032134F1B,1,43.19,ericsson,Omantel
2023-07-06T00:00:00,22.492797,58.760871,-1,(M) Abnormal Release Rate(%),NQ0504134F1A,1,29.19,ericsson,Omantel
2023-07-06T00:00:00,22.699844,59.367568,-1,(M) Abnormal Release Rate(%),NS0010234F1A,1,25.88,ericsson,Omantel
2023-07-06T00:00:00,22.56898,59.316012,-1,(M) Abnormal Release Rate(%),NS0012134F1A,1,65.88,ericsson,Omantel
2023-07-06T00:00:00,20.766473,58.284783,-1,(M) Abnormal Release Rate(%),NW0003134F1A,1,23.61,ericsson,Omantel
2023-07-06T00:00:00,18.20504,56.54673,-1,(M) Abnormal Release Rate(%),NW0029234F1A,1,46.84,ericsson,Omantel
2023-07-06T00:00:00,20.184898,57.80112,-1,(M) Abnormal Release Rate(%),NW0052134F1A,1,64.67,ericsson,Omantel
2023-07-06T00:00:00,20.184898,57.80112,-1,(M) Abnormal Release Rate(%),NW0052134F1B,1,55.65,ericsson,Omantel
2023-07-07T00:00:00,17.02005,54.09138,-1,(M) Abnormal Release Rate(%),ND0001234F1A,1,52.63,ericsson,Omantel
2023-07-07T00:00:00,17.0497,54.3887,-1,(M) Abnormal Release Rate(%),ND0006134F1A,1,28.2,ericsson,Omantel
2023-07-07T00:00:00,17.83653,52.65685,0,(M) Abnormal Release Rate(%),ND0007126F1C,1,84.76,ericsson,Omantel
2023-07-07T00:00:00,17.83653,52.65685,0,(M) Abnormal Release Rate(%),ND0007134F1C,1,77.12,ericsson,Omantel
2023-07-07T00:00:00,17.12022,55.05226,-1,(M) Abnormal Release Rate(%),ND0056234F1A,1,44.15,ericsson,Omantel
2023-07-07T00:00:00,17.44569,55.26889,-1,(M) Abnormal Release Rate(%),ND0061234F1C,1,29.49,ericsson,Omantel
2023-07-07T00:00:00,16.9542094,53.8667074,-1,(M) Abnormal Release Rate(%),ND0074134F1B,1,42.42,ericsson,Omantel
2023-07-07T00:00:00,17.13095,54.42826,-1,(M) Abnormal Release Rate(%),ND0300134F1A,1,25.56,ericsson,Omantel
2023-07-07T00:00:00,17.44784,54.04882,-1,(M) Abnormal Release Rate(%),ND0314134F1A,1,21.78,ericsson,Omantel
2023-07-07T00:00:00,17.892222,54.084222,-1,(M) Abnormal Release Rate(%),ND0326234F1C,1,74.32,ericsson,Omantel
2023-07-07T00:00:00,17.831371,52.68502,0,(M) Abnormal Release Rate(%),ND0668134F1C,1,23.05,ericsson,Omantel
2023-07-07T00:00:00,17.20466,54.12319,-1,(M) Abnormal Release Rate(%),ND0688134F1A,1,24.77,ericsson,Omantel
2023-07-07T00:00:00,17.118257,53.955906,-1,(M) Abnormal Release Rate(%),ND1136134F1C,1,38.3,ericsson,Omantel
2023-07-07T00:00:00,23.326207,56.325301,-1,(M) Abnormal Release Rate(%),NH0013134F1A,1,47.91,ericsson,Omantel
2023-07-07T00:00:00,22.738739,56.618399,-1,(M) Abnormal Release Rate(%),NH0045134F1A,1,32.72,ericsson,Omantel
2023-07-07T00:00:00,23.239212,56.421874,-1,(M) Abnormal Release Rate(%),NH0085134F1B,1,31.62,ericsson,Omantel
2023-07-07T00:00:00,23.384068,56.874462,-1,(M) Abnormal Release Rate(%),NH0106134F1A,1,30.91,ericsson,Omantel
2023-07-07T00:00:00,23.384068,56.874462,-1,(M) Abnormal Release Rate(%),NH0106134F1B,1,24.94,ericsson,Omantel
2023-07-07T00:00:00,23.060824,57.266438,-1,(M) Abnormal Release Rate(%),NK0096134F1A,1,24.56,ericsson,Omantel
2023-07-07T00:00:00,22.899926,57.922713,-1,(M) Abnormal Release Rate(%),NK0121134F1B,1,32.39,ericsson,Omantel
2023-07-07T00:00:00,23.287483,57.97196,-1,(M) Abnormal Release Rate(%),NK0210134F1A,1,24.12,ericsson,Omantel
2023-07-07T00:00:00,23.065808,57.274682,-1,(M) Abnormal Release Rate(%),NK0276134F1C,1,27.36,ericsson,Omantel
2023-07-07T00:00:00,23.406119,58.144718,-1,(M) Abnormal Release Rate(%),NK0435134F1A,1,30.48,ericsson,Omantel
2023-07-07T00:00:00,22.329112,58.236974,-1,(M) Abnormal Release Rate(%),NQ0030134F1A,1,26.21,ericsson,Omantel
2023-07-07T00:00:00,22.3862493,58.2168302,-1,(M) Abnormal Release Rate(%),NQ0032134F1B,1,48.01,ericsson,Omantel
2023-07-07T00:00:00,22.48882,58.02757,-1,(M) Abnormal Release Rate(%),NQ0035134F1C,1,26.36,ericsson,Omantel
2023-07-07T00:00:00,22.492797,58.760871,-1,(M) Abnormal Release Rate(%),NQ0504134F1A,1,27.19,ericsson,Omantel
2023-07-07T00:00:00,22.56898,59.316012,-1,(M) Abnormal Release Rate(%),NS0012134F1A,1,34.9,ericsson,Omantel
2023-07-07T00:00:00,22.651203,59.398945,-1,(M) Abnormal Release Rate(%),NS0115134F1A,1,21.89,ericsson,Omantel
2023-07-07T00:00:00,22.656384,59.40277,-1,(M) Abnormal Release Rate(%),NS0515134F1A,1,22.66,ericsson,Omantel
2023-07-07T00:00:00,18.20504,56.54673,-1,(M) Abnormal Release Rate(%),NW0029234F1A,1,44.32,ericsson,Omantel
2023-07-07T00:00:00,20.184898,57.80112,-1,(M) Abnormal Release Rate(%),NW0052134F1A,1,51.52,ericsson,Omantel
2023-07-07T00:00:00,20.184898,57.80112,-1,(M) Abnormal Release Rate(%),NW0052134F1B,1,72.57,ericsson,Omantel
